,Close,High,Low,Open,Volume
0,242.75209045410156,247.97845273823052,240.73123158611202,247.80920478270548,55740700.0
1,242.26429748535156,243.08059762167903,240.80091479245596,242.26429748535156,40244100.0
2,243.89691162109375,246.21642284830082,242.10501290585998,243.2100158477468,45045600.0
2,243.89691162109375,246.21642284830082,242.10501290585998,243.2100158477468,45045600.0
3,241.11949157714844,244.44445006993732,240.2633629937866,241.8860138278822,40856000.0
4,241.60728454589844,242.6127469270518,238.9692217628596,240.83079756862327,
5,235.7836151123047,239.0787097724967,231.95094323601768,238.9293760168756,61710900.0
6,233.34463500976562,233.61342361918983,228.68571346021633,232.47855694506205,49630700.0
7,232.2296905517578,235.05690023183175,231.42333988575893,233.69307331230715,39435300.0
8,236.79901123046875,237.88411516800545,233.3744970274307,,39832000.0
9,227.23228454589844,236.9383864807084,227.0033243432251,236.28136958651152,71759100.0
10,228.94451904296875,231.2441159203825,227.45127273918456,231.0748831620974,68488300.0
11,221.63758850097656,223.40957304130882,218.39227174297113,222.99146586562136,98070400.0
12,222.8222198486328,223.11090745632038,218.80040121474653,218.80040121474653,64126500.0
13,222.6529998779297,226.00782197454978,221.29912251598503,223.72813912330528,60234800.0
14,,224.61413662079448,220.4131353788753,223.76795755359672,54697900.0
15,228.82508850097656,231.10477141655377,222.9715575076631,223.01138591977585,94863400.0
16,237.187255859375,-100000.0,229.77080167884077,229.81063008981926,75707600.0
17,238.2823028564453,238.78005164957875,232.9563846938824,233.06589003597526,45486100.0
18,236.520263671875,239.70585285329432,236.14198492507634,237.59540286874542,55658300.0
